날짜,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자,평균 일교차
01-15,-0.9,3.6,9,2015.1.15,-4.8,-9.8,2015.1.1,8.4 
02-15,1,6,13,2015.2.15,-2.9,-13,2015.2.9,8.9 
03-15,6.3,12.4,21.9,2015.3.20,1,-6.9,2015.3.10,11.4 
04-15,13.3,18.8,28.3,2015.4.30,8.4,3.5,2015.4.8,10.4 
05-15,18.9,24.9,32.2,2015.5.28,13.6,8.3,2015.5.5,11.3 
06-15,23.6,29.5,34.9,2015.6.10,18.9,15.6,2015.6.21,10.6 
07-15,25.8,30,36,2015.7.11,22.6,18.2,2015.7.4,7.4 
08-15,26.3,30.8,34.4,2015.8.7,22.8,18.9,2015.8.26,8.0 
09-15,22.4,28.1,31,2015.9.22,17.5,14.2,2015.9.27,10.6 
10-15,15.5,21.2,26.6,2015.10.17,10.8,1.1,2015.10.31,10.4 
11-15,8.9,12.7,21,2015.11.12,5.9,-7.3,2015.11.27,6.8 
12-15,1.6,6,12.2,2015.12.13,-2.1,-9.5,2015.12.28,8.1 
01-16,-3.2,1.1,9.5,2016.1.2,-6.8,-18,2016.1.24,7.9 
02-16,0.2,5.1,14.4,2016.2.13,-4.1,-10,2016.2.15,9.2 
03-16,7,12.6,21.4,2016.3.31,2.4,-7.5,2016.3.1,10.2 
04-16,14.1,20.3,29.6,2016.4.26,9.1,5.1,2016.4.4,11.2 
05-16,19.6,25.7,31.9,2016.5.19,14.1,8.9,2016.5.3,11.6 
06-16,23.6,28.7,32.2,2016.6.5,19.5,17.1,2016.6.1,9.2 
07-16,26.2,29.8,34.1,2016.7.22,23.3,19.8,2016.7.16,6.5 
08-16,28,32.6,36.6,2016.8.21,24.5,16.1,2016.8.31,8.1 
09-16,23.1,27.9,31.1,2016.9.5,19.3,14.3,2016.9.21,8.6 
10-16,16.1,21.3,29,2016.10.4,11.6,0.7,2016.10.31,9.7 
11-16,6.8,11.6,18.6,2016.11.19,2.8,-6.2,2016.11.24,8.8 
12-16,1.2,5.8,13.6,2016.12.20,-2.7,-9.8,2016.12.16,8.5 
01-17,-1.8,2.9,11.4,2017.1.6,-5.8,-12.6,2017.1.23,8.7 
02-17,-0.2,4.8,12.3,2017.2.28,-4.7,-9.3,2017.2.10,9.5 
03-17,6.3,12.3,18.9,2017.3.19,1.7,-5.3,2017.3.8,10.6 
04-17,13.9,20,27.8,2017.4.30,9.1,3.1,2017.4.2,10.9 
05-17,19.5,25.4,30.3,2017.5.30,14.4,10,2017.5.6,11.0 
06-17,23.3,28.8,34.1,2017.6.23,18.7,14.5,2017.6.6,10.1 
07-17,26.9,30.4,35.4,2017.7.25,24.3,21.9,2017.7.3,6.1 
08-17,25.9,29.7,35.3,2017.8.4,22.9,16.1,2017.8.30,6.8 
09-17,22.1,27.4,31.4,2017.9.26,17.5,11.2,2017.9.29,9.9 
10-17,16.4,22.5,29.4,2017.10.2,11.6,2.5,2017.10.30,10.9 
11-17,5.6,10.5,18.4,2017.11.7,1.3,-6.6,2017.11.19,9.2 
12-17,-1.9,2.2,8.7,2017.12.23,-5.7,-12.3,2017.12.12,7.9 
01-18,-4,0.1,8.7,2018.1.17,-7.3,-17.8,2018.1.26,7.4 
02-18,-1.6,3.3,10.4,2018.2.26,-5.9,-13.4,2018.2.7,9.2 
03-18,8.1,13.6,22.1,2018.3.14,3.8,-6.7,2018.3.2,9.8 
04-18,13,18.5,26.3,2018.4.20,8.1,0.1,2018.4.9,10.4 
05-18,18.2,23.3,29.6,2018.5.26,13.4,6.9,2018.5.3,9.9 
06-18,23.1,28.4,32.9,2018.6.25,18.9,16.3,2018.6.16,9.5 
07-18,27.8,32.1,38.3,2018.7.31,24.2,17.7,2018.7.8,7.9 
08-18,28.8,33.3,39.6,2018.8.1,25.2,20.2,2018.8.27,8.1 
09-18,21.5,26,30.9,2018.9.1,17.6,10.8,2018.9.25,8.4 
10-18,13.1,18.6,25.6,2018.10.4,8.5,0.7,2018.10.30,10.1 
11-18,7.8,13.2,19.4,2018.11.4,3.6,-3.1,2018.11.23,9.6 
12-18,-0.6,4.1,13.5,2018.12.3,-4.7,-14.4,2018.12.28,8.8 
01-19,-0.9,4.1,8.5,2019.1.19,-5.1,-10.1,2019.1.16,9.2 
02-19,1,6,14.5,2019.2.23,-3.2,-10.2,2019.2.8,9.2 
03-19,7.1,12.4,17.6,2019.3.26,2.7,-1.7,2019.3.14,9.7 
04-19,12.1,17.6,28.2,2019.4.22,7.2,0.3,2019.4.1,10.4 
05-19,19.4,25.6,33.4,2019.5.24,13.7,8.4,2019.5.7,11.9 
06-19,22.5,27.7,32.8,2019.6.25,18.1,14.1,2019.6.2,9.6 
07-19,25.9,30.1,36.1,2019.7.6,22.7,19.3,2019.7.10,7.4 
08-19,27.2,31.6,36.8,2019.8.6,23.6,18.5,2019.8.31,8.0 
09-19,22.6,27.1,30.5,2019.9.16,19,13.6,2019.9.19,8.1 
10-19,16.4,21.8,28.2,2019.10.1,11.8,4.7,2019.10.27,10.0 
11-19,7.6,12.9,22.1,2019.11.3,3.1,-4.6,2019.11.20,9.8 
12-19,1.4,5.3,12.9,2019.12.16,-2.6,-10.9,2019.12.31,7.9 
01-20,1.6,5.9,11.9,2020.1.26,-1.7,-6.5,2020.1.1,7.6 
02-20,2.5,7.2,15.6,2020.2.15,-1.3,-11.8,2020.2.6,8.5 
03-20,7.7,13.3,20.6,2020.3.26,2.6,-2.8,2020.3.5,10.7 
04-20,11.1,16.6,23.8,2020.4.16,6.3,1.9,2020.4.5,10.3 
05-20,18,23.3,30,2020.5.30,13.7,9.2,2020.5.20,9.6 
06-20,23.9,29,35.4,2020.6.22,19.9,14.8,2020.6.2,9.1 
07-20,24.1,28,32.9,2020.7.9,21.1,17.2,2020.7.14,6.9 
08-20,26.5,29.3,34.5,2020.8.26,24.4,21.5,2020.8.23,4.9 
09-20,21.4,25.6,29.5,2020.9.1,18,13.6,2020.9.21,7.6 
10-20,14.3,19.5,23.6,2020.10.1,9.6,3.2,2020.10.24,9.9 
11-20,8,12.6,20,2020.11.17,4,-3.6,2020.11.30,8.6 
12-20,-0.3,3.9,11.4,2020.12.28,-4.2,-12.9,2020.12.31,8.1 
01-21,-2.4,2.2,13.9,2021.1.25,-6.8,-18.6,2021.1.8,9.0 
02-21,2.7,7.9,17.4,2021.2.21,-2.2,-10.6,2021.2.18,10.1 
03-21,9,14.8,22.9,2021.3.31,4.3,-1.2,2021.3.3,10.5 
04-21,14.2,19.5,28.2,2021.4.21,9.5,3.1,2021.4.14,10.0 
05-21,17.1,21.9,30.8,2021.5.14,12.8,7.3,2021.5.2,9.1 
06-21,22.8,27.6,31.6,2021.6.9,18.9,13.3,2021.6.4,8.7 
07-21,28.1,32.2,36.5,2021.7.24,24.6,19.6,2021.7.3,7.6 
08-21,25.9,29.7,33.7,2021.8.5,22.8,18.1,2021.8.31,6.9 
09-21,22.6,26.9,30.3,2021.9.13,18.8,16,2021.9.30,8.1 
10-21,15.6,20.5,28.8,2021.10.3,11.6,1.3,2021.10.17,8.9 
11-21,8.2,13.1,21.3,2021.11.7,4,-3.7,2021.11.23,9.1 
12-21,0.6,5.1,13.3,2021.12.8,-3.5,-15.5,2021.12.26,8.6 
01-22,-2.2,2.6,8.4,2022.1.24,-6.2,-11.3,2022.1.12,8.8 
02-22,-1.1,3.8,11.5,2022.2.28,-5.3,-10.7,2022.2.17,9.1 
03-22,7.7,12.7,19.5,2022.3.12,3.2,-3,2022.3.6,9.5 
04-22,14.8,20.6,28.7,2022.4.26,10,3.5,2022.4.3,10.6 
05-22,19.1,25,30.7,2022.5.23,13.9,7.9,2022.5.1,11.1 
06-22,23.3,27.5,32.7,2022.6.11,19.8,14.9,2022.6.15,7.7 
07-22,27.3,31,36.1,2022.7.30,24.2,20.8,2022.7.21,6.8 
08-22,25.7,28.9,32.9,2022.8.4,23.1,16.1,2022.8.28,5.8 
09-22,22.4,27.2,32.5,2022.9.18,18.2,12.3,2022.9.24,9.0 
10-22,14.6,19.7,27.6,2022.10.1,10.3,4.4,2022.10.19,9.4 
11-22,10,15.4,22.1,2022.11.11,5.6,-8.1,2022.11.30,9.8 
12-22,-2.8,1.7,10.2,2022.12.9,-6.6,-13.7,2022.12.23,8.3 
01-23,-1.5,3.2,12.5,2023.1.12,-5.7,-17.3,2023.1.25,8.9 
02-23,2.3,7.3,12.4,2023.2.27,-1.9,-5.3,2023.2.21,9.2 
03-23,9.8,16.2,25.1,2023.3.22,4.2,-1.9,2023.3.13,12.0 
04-23,13.8,19,28.4,2023.4.19,8.8,3.1,2023.4.8,10.2 
05-23,19.5,25,31.2,2023.5.16,14.6,7.9,2023.5.8,10.4 
06-23,23.4,27.9,34,2023.6.19,19.7,16.6,2023.6.3,8.2 
07-23,26.7,30.2,34.9,2023.7.30,23.9,21.6,2023.7.11,6.3 
08-23,27.2,30.8,35.8,2023.8.8,24.3,20.8,2023.8.28,6.5 
09-23,23.7,27.6,32.8,2023.9.5,20.2,15.2,2023.9.22,7.4 
10-23,15.8,21,24.6,2023.10.2,11.5,5.4,2023.10.22,9.5 
11-23,6.8,11.5,25.9,2023.11.2,2.9,-7.3,2023.11.30,8.6 
12-23,1.1,5.2,16.8,2023.12.8,-2.5,-14.7,2023.12.22,7.7 
01-24,-0.5,3.6,10.6,2024.1.31,-3.9,-14,2024.1.23,7.5 
02-24,3.8,8.2,18.3,2024.2.14,0.2,-3.1,2024.2.11,8.0 
03-24,7,12,23.4,2024.3.24,2.4,-8.1,2024.3.2,9.6 
04-24,16.3,22.4,29.4,2024.4.14,11.5,5.5,2024.4.1,10.9 
05-24,18.5,23.7,28.5,2024.5.4,13.8,6.9,2024.5.16,9.9 
06-24,24.6,30.1,35.8,2024.6.19,19.9,15.7,2024.6.3,10.2 
07-24,26.6,29.6,33.3,2024.7.31,24.1,21.3,2024.7.5,5.5 
08-24,29.3,33.3,36.4,2024.8.13,26.3,22.6,2024.8.31,7.0 
09-24,25.5,29.8,34.6,2024.9.11,22,15.6,2024.9.24,7.8 
10-24,16.7,21.4,25.7,2024.10.17,12.7,7.1,2024.10.24,8.7 
11-24,9.7,14.9,25.1,2024.11.2,5.5,-3.4,2024.11.29,9.4 
12-24,0.8,5.3,13,2024.12.2,-2.9,-7.7,2024.12.22,8.2 